epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1558.56,1.10979,0.94127,1.18589,0.94351,0.90058,0.93889,0.64435,1.22304,0.76273,1.22181,0.007492,0.007492,0.007492
116,1570.68,1.09332,0.92764,1.18011,0.91893,0.88888,0.93909,0.64382,1.17671,0.77102,1.21422,0.00747,0.00747,0.00747
117,1582.88,1.09497,0.92908,1.17227,0.90578,0.90348,0.93042,0.64933,1.16218,0.76974,1.18882,0.007448,0.007448,0.007448
118,1595.24,1.08367,0.92876,1.16638,0.88152,0.87471,0.9323,0.63761,1.20466,0.80564,1.20702,0.007426,0.007426,0.007426
119,1607.45,1.11314,0.94211,1.18371,0.93624,0.89844,0.94397,0.63908,1.15394,0.7321,1.18807,0.007404,0.007404,0.007404
120,1619.64,1.0997,0.91328,1.17236,0.92807,0.90337,0.93799,0.65053,1.15701,0.76701,1.18336,0.007382,0.007382,0.007382
121,1631.82,1.09886,0.92962,1.1685,0.9254,0.90958,0.94346,0.63467,1.17346,0.75382,1.18803,0.00736,0.00736,0.00736
122,1643.97,1.07628,0.91841,1.16559,0.93385,0.9008,0.94611,0.66131,1.15821,0.76172,1.18986,0.007338,0.007338,0.007338
123,1656.1,1.07092,0.9066,1.1527,0.92831,0.90351,0.93924,0.65378,1.17684,0.76556,1.19601,0.007316,0.007316,0.007316
124,1668.21,1.07738,0.91501,1.16451,0.92825,0.88011,0.93393,0.63423,1.18305,0.76882,1.19237,0.007294,0.007294,0.007294
125,1680.33,1.07263,0.9043,1.14715,0.92756,0.91545,0.95111,0.65056,1.15259,0.74815,1.17389,0.007272,0.007272,0.007272
126,1692.51,1.08533,0.90542,1.16656,0.92747,0.91641,0.95616,0.67062,1.14748,0.73157,1.174,0.00725,0.00725,0.00725
127,1704.77,1.07379,0.89923,1.15826,0.90269,0.91102,0.939,0.65313,1.1693,0.74874,1.18141,0.007228,0.007228,0.007228
128,1716.94,1.07764,0.90904,1.16643,0.9247,0.90788,0.95387,0.65641,1.15936,0.74727,1.16738,0.007206,0.007206,0.007206
129,1729.05,1.09567,0.91631,1.17392,0.92889,0.88644,0.93305,0.65546,1.16195,0.73325,1.17844,0.007184,0.007184,0.007184
130,1741.29,1.07723,0.88362,1.15856,0.92881,0.90376,0.94406,0.66254,1.13287,0.72196,1.16375,0.007162,0.007162,0.007162
131,1753.55,1.07237,0.89696,1.15948,0.93239,0.90752,0.95134,0.66625,1.15396,0.73025,1.1654,0.00714,0.00714,0.00714
132,1765.74,1.05997,0.89671,1.15302,0.90505,0.92022,0.9519,0.66683,1.1411,0.74777,1.15275,0.007118,0.007118,0.007118
133,1777.77,1.07704,0.88885,1.16625,0.91464,0.9065,0.94243,0.6531,1.14788,0.7641,1.16619,0.007096,0.007096,0.007096
134,1789.82,1.0636,0.88761,1.1558,0.9357,0.90565,0.95837,0.65977,1.13566,0.72078,1.16238,0.007074,0.007074,0.007074
135,1801.96,1.05,0.86554,1.14447,0.91756,0.9112,0.95556,0.66238,1.14253,0.71704,1.15977,0.007052,0.007052,0.007052
136,1814.17,1.07195,0.89272,1.16441,0.93162,0.90647,0.95302,0.66178,1.14937,0.73422,1.16191,0.00703,0.00703,0.00703
137,1826.31,1.05352,0.87025,1.15312,0.93988,0.906,0.95748,0.66487,1.14493,0.70758,1.16827,0.007008,0.007008,0.007008
138,1838.41,1.06975,0.88141,1.15666,0.91938,0.92582,0.95415,0.66748,1.14292,0.72427,1.16794,0.006986,0.006986,0.006986
139,1850.49,1.06295,0.87723,1.15673,0.92142,0.91358,0.95649,0.66772,1.13673,0.71423,1.16889,0.006964,0.006964,0.006964
140,1862.63,1.06561,0.88117,1.15329,0.9205,0.90522,0.95408,0.65832,1.16735,0.71109,1.19308,0.006942,0.006942,0.006942
141,1874.74,1.0407,0.85756,1.14007,0.94048,0.90861,0.95753,0.67136,1.12283,0.70145,1.16166,0.00692,0.00692,0.00692
