epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1443.86,1.08941,0.91869,1.16904,0.87716,0.8931,0.93289,0.63403,1.14667,0.78008,1.2063,0.007228,0.007228,0.007228
114,1456.47,1.08384,0.9137,1.16886,0.90039,0.88435,0.93184,0.63119,1.14408,0.79948,1.19257,0.00720325,0.00720325,0.00720325
115,1469.58,1.09002,0.93751,1.17227,0.85381,0.91993,0.93054,0.62399,1.13337,0.77783,1.17501,0.0071785,0.0071785,0.0071785
116,1482.21,1.09629,0.93395,1.17488,0.84675,0.89982,0.91678,0.6151,1.1409,0.76445,1.21319,0.00715375,0.00715375,0.00715375
117,1494.85,1.08288,0.92358,1.17096,0.87693,0.88475,0.9146,0.60977,1.13858,0.79108,1.20494,0.007129,0.007129,0.007129
118,1507.49,1.09263,0.91125,1.16309,0.90019,0.90007,0.92866,0.6047,1.18185,0.80136,1.24359,0.00710425,0.00710425,0.00710425
119,1520.14,1.06406,0.90788,1.16071,0.90372,0.89183,0.92588,0.62138,1.16013,0.76663,1.21145,0.0070795,0.0070795,0.0070795
120,1532.8,1.08723,0.90176,1.17585,0.87175,0.91667,0.93155,0.62816,1.12904,0.76153,1.20155,0.00705475,0.00705475,0.00705475
121,1545.36,1.08304,0.91805,1.16441,0.83945,0.89831,0.92689,0.60852,1.15822,0.78617,1.20875,0.00703,0.00703,0.00703
122,1558.08,1.06846,0.9075,1.1573,0.90385,0.87691,0.92551,0.6292,1.1213,0.74618,1.18851,0.00700525,0.00700525,0.00700525
123,1570.55,1.07219,0.90214,1.15831,0.89566,0.91885,0.94288,0.61365,1.18635,0.76618,1.21033,0.0069805,0.0069805,0.0069805
124,1583.18,1.0826,0.91566,1.16477,0.89643,0.90747,0.93573,0.62145,1.14947,0.79006,1.20759,0.00695575,0.00695575,0.00695575
125,1595.98,1.0744,0.90175,1.16184,0.88145,0.86437,0.91035,0.59956,1.17331,0.80661,1.20571,0.006931,0.006931,0.006931
126,1608.55,1.07829,0.8984,1.15261,0.88681,0.87949,0.923,0.63231,1.15277,0.76859,1.19624,0.00690625,0.00690625,0.00690625
127,1621.17,1.07262,0.90316,1.16275,0.90441,0.88469,0.92937,0.62896,1.14263,0.76451,1.20801,0.0068815,0.0068815,0.0068815
128,1633.71,1.07087,0.90426,1.16108,0.89699,0.89885,0.93124,0.62012,1.14011,0.76397,1.20468,0.00685675,0.00685675,0.00685675
129,1646.36,1.06274,0.88828,1.15116,0.87438,0.90496,0.93335,0.62265,1.12469,0.73541,1.19462,0.006832,0.006832,0.006832
130,1658.91,1.07542,0.89087,1.15821,0.91065,0.9038,0.94581,0.62448,1.14614,0.77347,1.20195,0.00680725,0.00680725,0.00680725
131,1671.59,1.08088,0.89515,1.16137,0.90199,0.87411,0.92914,0.6229,1.14664,0.76826,1.20384,0.0067825,0.0067825,0.0067825
132,1684.16,1.04647,0.87038,1.13462,0.89089,0.88458,0.93629,0.63437,1.13599,0.76395,1.18004,0.00675775,0.00675775,0.00675775
133,1696.94,1.05099,0.87208,1.14827,0.90667,0.90213,0.9398,0.62469,1.17359,0.79065,1.22254,0.006733,0.006733,0.006733
134,1709.71,1.0586,0.87459,1.15023,0.8926,0.89598,0.92509,0.62757,1.16471,0.79559,1.22595,0.00670825,0.00670825,0.00670825
135,1722.54,1.04875,0.86672,1.15412,0.88781,0.89834,0.92991,0.61837,1.15599,0.76202,1.21085,0.0066835,0.0066835,0.0066835
136,1735.49,1.06324,0.88656,1.15636,0.90087,0.89874,0.93039,0.6244,1.13653,0.75988,1.20298,0.00665875,0.00665875,0.00665875
137,1747.97,1.04479,0.86355,1.13776,0.89559,0.91157,0.9335,0.63374,1.1396,0.74441,1.20515,0.006634,0.006634,0.006634
138,1760.64,1.04986,0.87078,1.14816,0.90247,0.87694,0.93145,0.62888,1.12887,0.73789,1.1895,0.00660925,0.00660925,0.00660925
139,1773.16,1.05645,0.86141,1.14398,0.8824,0.90519,0.92761,0.62853,1.15296,0.74378,1.20819,0.0065845,0.0065845,0.0065845
140,1785.79,1.04523,0.86077,1.14348,0.89727,0.90007,0.93003,0.62146,1.13538,0.74856,1.19916,0.00655975,0.00655975,0.00655975
141,1798.32,1.05211,0.87086,1.14635,0.90149,0.91013,0.93788,0.64536,1.09285,0.72374,1.18107,0.006535,0.006535,0.006535
142,1810.84,1.04219,0.86254,1.14188,0.90256,0.867,0.93206,0.63921,1.1435,0.76131,1.19959,0.00651025,0.00651025,0.00651025
143,1823.4,1.03488,0.84727,1.13799,0.89971,0.90308,0.92636,0.63587,1.14513,0.75769,1.21218,0.0064855,0.0064855,0.0064855
144,1835.88,1.05639,0.87351,1.14373,0.90107,0.90049,0.93105,0.63606,1.11902,0.73852,1.19898,0.00646075,0.00646075,0.00646075
145,1848.5,1.05062,0.8745,1.14038,0.87186,0.91308,0.92913,0.6327,1.11098,0.74898,1.20306,0.006436,0.006436,0.006436
146,1860.93,1.04314,0.8565,1.13572,0.87715,0.91481,0.93479,0.63748,1.14873,0.74978,1.20799,0.00641125,0.00641125,0.00641125
147,1873.54,1.03827,0.83753,1.13867,0.90267,0.92694,0.94027,0.63988,1.13504,0.72692,1.20331,0.0063865,0.0063865,0.0063865
148,1886.12,1.03718,0.84628,1.14108,0.87392,0.92718,0.93283,0.64332,1.12542,0.74611,1.17961,0.00636175,0.00636175,0.00636175
149,1898.74,1.04635,0.8531,1.1364,0.89527,0.92016,0.94461,0.64499,1.11139,0.73038,1.17502,0.006337,0.006337,0.006337
150,1911.26,1.0362,0.8424,1.13216,0.90704,0.90509,0.93465,0.63529,1.10684,0.72444,1.17268,0.00631225,0.00631225,0.00631225
151,1924.1,1.02872,0.83268,1.13376,0.90355,0.91945,0.94411,0.63784,1.11966,0.7407,1.17699,0.0062875,0.0062875,0.0062875
152,1937.04,1.02041,0.83273,1.13102,0.87839,0.92199,0.93232,0.63041,1.09866,0.74308,1.16848,0.00626275,0.00626275,0.00626275
153,1949.79,1.04211,0.84534,1.13218,0.89761,0.89952,0.93145,0.62903,1.10061,0.7458,1.17468,0.006238,0.006238,0.006238
154,1962.66,1.03215,0.82591,1.1254,0.88736,0.89835,0.92426,0.63144,1.12819,0.76581,1.18988,0.00621325,0.00621325,0.00621325
155,1975.26,1.02713,0.82354,1.13092,0.88442,0.91416,0.93711,0.63861,1.10642,0.73194,1.20043,0.0061885,0.0061885,0.0061885
156,1987.99,1.02255,0.83435,1.13365,0.89204,0.88014,0.92323,0.62877,1.15516,0.73753,1.21125,0.00616375,0.00616375,0.00616375
157,2000.66,1.03105,0.83932,1.13219,0.90962,0.90244,0.9341,0.64602,1.10847,0.70811,1.18458,0.006139,0.006139,0.006139
158,2013.3,1.03589,0.83323,1.13211,0.89708,0.91685,0.93662,0.64023,1.10345,0.73373,1.19354,0.00611425,0.00611425,0.00611425
159,2025.93,1.03004,0.83442,1.12538,0.89565,0.91331,0.93581,0.63867,1.13298,0.72399,1.19936,0.0060895,0.0060895,0.0060895
160,2038.57,1.03053,0.84015,1.13044,0.89653,0.9064,0.93992,0.63255,1.11237,0.72581,1.19732,0.00606475,0.00606475,0.00606475
161,2051.32,1.00562,0.8188,1.11903,0.9046,0.89648,0.93201,0.62591,1.13187,0.73661,1.19896,0.00604,0.00604,0.00604
162,2063.89,1.0008,0.80604,1.11895,0.90047,0.91145,0.9359,0.6315,1.12724,0.71767,1.19497,0.00601525,0.00601525,0.00601525
163,2076.66,1.02598,0.82429,1.1283,0.86581,0.9191,0.93343,0.63928,1.10823,0.71604,1.17577,0.0059905,0.0059905,0.0059905
164,2089.29,1.02526,0.8272,1.12683,0.90535,0.90631,0.93922,0.64652,1.11646,0.69224,1.17259,0.00596575,0.00596575,0.00596575
165,2102.01,1.02524,0.82032,1.12264,0.89668,0.91302,0.94048,0.64249,1.09713,0.69963,1.16603,0.005941,0.005941,0.005941
166,2114.81,1.01452,0.81182,1.11955,0.91073,0.92091,0.93586,0.64298,1.09881,0.69862,1.16648,0.00591625,0.00591625,0.00591625
167,2127.32,1.01228,0.81659,1.12429,0.90843,0.90241,0.93094,0.64472,1.10034,0.70193,1.15957,0.0058915,0.0058915,0.0058915
168,2140.03,1.00265,0.81182,1.11266,0.90119,0.92645,0.93138,0.64765,1.12298,0.69789,1.17082,0.00586675,0.00586675,0.00586675
169,2152.62,1.01891,0.81684,1.1328,0.90973,0.90081,0.9382,0.64049,1.1161,0.73458,1.18431,0.005842,0.005842,0.005842
170,2165.71,1.01378,0.817,1.12308,0.90705,0.90568,0.93051,0.63042,1.13302,0.72392,1.18277,0.00581725,0.00581725,0.00581725
171,2178.47,1.00475,0.8061,1.1189,0.90626,0.90136,0.9323,0.64089,1.12868,0.70441,1.18209,0.0057925,0.0057925,0.0057925
172,2191.25,1.00735,0.7985,1.11745,0.91264,0.91273,0.93758,0.64398,1.12434,0.7149,1.17009,0.00576775,0.00576775,0.00576775
